asn,asn_name,attacks,unique_ips,tor_exit_ips,spamhaus_drop_hits,spamhaus_asndrop,bph_flag,bph_label,bph_confidence
AS219502,,3,2,0,2,False,False,,
AS197170,,2,2,0,1,False,False,,
AS45102,,2,2,0,0,False,False,,
AS51396,,2,1,0,1,False,False,,
AS14061,,1,1,0,0,False,False,,
AS150273,,1,1,0,0,False,False,,
AS205463,,1,1,0,0,False,False,,
AS26042,,1,1,0,0,False,False,,
AS27947,,1,1,0,0,False,False,,
AS30036,,1,1,0,0,False,False,,
AS329440,,1,1,0,0,False,False,,
AS53667,,1,1,0,0,False,False,,
AS61138,,1,1,0,0,False,False,,
