ip,attacks,risk_score,risk_level,risk_reasons,asn,asn_name,asn_org,asn_source,rdap_source,tor_exit,spamhaus_drop,spamhaus_asndrop,feed_hits,bph_flag,bph_label,bph_confidence,bph_note
185.220.100.247,93,40,medium,repeated_attacks_ge_10;tor_exit_match,AS205100,F3NETZE,F3NETZE,team-cymru-dns,rdap.org,True,False,False,tor_exit,False,,,
192.42.116.12,70,40,medium,repeated_attacks_ge_10;tor_exit_match,AS215125,Cyberology-AS,CYBEROLOGY-MNT,team-cymru-dns,rdap.org,True,False,False,tor_exit,False,,,
192.42.116.43,65,40,medium,repeated_attacks_ge_10;tor_exit_match,AS215125,Cyberology-AS,CYBEROLOGY-MNT,team-cymru-dns,rdap.org,True,False,False,tor_exit,False,,,
192.42.116.64,48,40,medium,repeated_attacks_ge_10;tor_exit_match,AS215125,Cyberology-AS,CYBEROLOGY-MNT,team-cymru-dns,rdap.org,True,False,False,tor_exit,False,,,
192.42.116.144,47,40,medium,repeated_attacks_ge_10;tor_exit_match,AS215125,Cyberology-AS,CYBEROLOGY-MNT,team-cymru-dns,rdap.org,True,False,False,tor_exit,False,,,
192.42.116.106,43,40,medium,repeated_attacks_ge_10;tor_exit_match,AS215125,Cyberology-AS,CYBEROLOGY-MNT,team-cymru-dns,rdap.org,True,False,False,tor_exit,False,,,
192.42.116.60,43,40,medium,repeated_attacks_ge_10;tor_exit_match,AS215125,Cyberology-AS,CYBEROLOGY-MNT,team-cymru-dns,rdap.org,True,False,False,tor_exit,False,,,
192.42.116.93,43,40,medium,repeated_attacks_ge_10;tor_exit_match,AS215125,Cyberology-AS,CYBEROLOGY-MNT,team-cymru-dns,rdap.org,True,False,False,tor_exit,False,,,
192.42.116.54,37,40,medium,repeated_attacks_ge_10;tor_exit_match,AS215125,Cyberology-AS,CYBEROLOGY-MNT,team-cymru-dns,rdap.org,True,False,False,tor_exit,False,,,
192.42.116.102,36,40,medium,repeated_attacks_ge_10;tor_exit_match,AS215125,Cyberology-AS,CYBEROLOGY-MNT,team-cymru-dns,rdap.org,True,False,False,tor_exit,False,,,
192.42.116.47,34,40,medium,repeated_attacks_ge_10;tor_exit_match,AS215125,Cyberology-AS,CYBEROLOGY-MNT,team-cymru-dns,rdap.org,True,False,False,tor_exit,False,,,
192.42.116.49,33,40,medium,repeated_attacks_ge_10;tor_exit_match,AS215125,Cyberology-AS,CYBEROLOGY-MNT,team-cymru-dns,rdap.org,True,False,False,tor_exit,False,,,
192.42.116.14,29,40,medium,repeated_attacks_ge_10;tor_exit_match,AS215125,Cyberology-AS,CYBEROLOGY-MNT,team-cymru-dns,rdap.org,True,False,False,tor_exit,False,,,
192.42.116.46,29,40,medium,repeated_attacks_ge_10;tor_exit_match,AS215125,Cyberology-AS,CYBEROLOGY-MNT,team-cymru-dns,rdap.org,True,False,False,tor_exit,False,,,
192.42.116.53,28,40,medium,repeated_attacks_ge_10;tor_exit_match,AS215125,Cyberology-AS,CYBEROLOGY-MNT,team-cymru-dns,rdap.org,True,False,False,tor_exit,False,,,
45.84.107.33,28,40,medium,repeated_attacks_ge_10;tor_exit_match,AS214503,QUXLABS,MNT-QUXLABS,team-cymru-dns,rdap.org,True,False,False,tor_exit,False,,,
185.220.101.134,25,40,medium,repeated_attacks_ge_10;tor_exit_match,AS60729,,,team-cymru-dns,none,True,False,False,tor_exit,False,,,
192.42.116.61,24,40,medium,repeated_attacks_ge_10;tor_exit_match,AS215125,Cyberology-AS,CYBEROLOGY-MNT,team-cymru-dns,rdap.org,True,False,False,tor_exit,False,,,
192.42.116.62,24,40,medium,repeated_attacks_ge_10;tor_exit_match,AS215125,Cyberology-AS,CYBEROLOGY-MNT,team-cymru-dns,rdap.org,True,False,False,tor_exit,False,,,
192.42.116.68,24,40,medium,repeated_attacks_ge_10;tor_exit_match,AS215125,Cyberology-AS,CYBEROLOGY-MNT,team-cymru-dns,rdap.org,True,False,False,tor_exit,False,,,
185.220.100.255,22,40,medium,repeated_attacks_ge_10;tor_exit_match,AS205100,F3NETZE,F3NETZE,team-cymru-dns,rdap.org,True,False,False,tor_exit,False,,,
192.42.116.117,22,40,medium,repeated_attacks_ge_10;tor_exit_match,AS215125,Cyberology-AS,CYBEROLOGY-MNT,team-cymru-dns,rdap.org,True,False,False,tor_exit,False,,,
173.237.206.68,18,40,medium,repeated_attacks_ge_10;tor_exit_match,AS26527,LIGHTWAVE-NETWORKS,LightWave Networks,team-cymru-dns,rdap.org,True,False,False,tor_exit,False,,,
192.42.116.97,17,40,medium,repeated_attacks_ge_10;tor_exit_match,AS215125,Cyberology-AS,CYBEROLOGY-MNT,team-cymru-dns,rdap.org,True,False,False,tor_exit,False,,,
192.42.116.101,16,40,medium,repeated_attacks_ge_10;tor_exit_match,AS215125,Cyberology-AS,CYBEROLOGY-MNT,team-cymru-dns,rdap.org,True,False,False,tor_exit,False,,,
192.42.116.55,16,40,medium,repeated_attacks_ge_10;tor_exit_match,AS215125,Cyberology-AS,CYBEROLOGY-MNT,team-cymru-dns,rdap.org,True,False,False,tor_exit,False,,,
192.42.116.17,15,40,medium,repeated_attacks_ge_10;tor_exit_match,AS215125,Cyberology-AS,CYBEROLOGY-MNT,team-cymru-dns,rdap.org,True,False,False,tor_exit,False,,,
192.42.116.42,15,40,medium,repeated_attacks_ge_10;tor_exit_match,AS215125,Cyberology-AS,CYBEROLOGY-MNT,team-cymru-dns,rdap.org,True,False,False,tor_exit,False,,,
192.42.116.92,13,40,medium,repeated_attacks_ge_10;tor_exit_match,AS215125,Cyberology-AS,CYBEROLOGY-MNT,team-cymru-dns,rdap.org,True,False,False,tor_exit,False,,,
192.42.116.145,12,40,medium,repeated_attacks_ge_10;tor_exit_match,AS215125,Cyberology-AS,CYBEROLOGY-MNT,team-cymru-dns,rdap.org,True,False,False,tor_exit,False,,,
192.42.116.51,12,40,medium,repeated_attacks_ge_10;tor_exit_match,AS215125,Cyberology-AS,CYBEROLOGY-MNT,team-cymru-dns,rdap.org,True,False,False,tor_exit,False,,,
185.220.101.132,11,40,medium,repeated_attacks_ge_10;tor_exit_match,AS60729,,,team-cymru-dns,none,True,False,False,tor_exit,False,,,
192.42.116.13,11,40,medium,repeated_attacks_ge_10;tor_exit_match,AS215125,Cyberology-AS,CYBEROLOGY-MNT,team-cymru-dns,rdap.org,True,False,False,tor_exit,False,,,
192.42.116.67,11,40,medium,repeated_attacks_ge_10;tor_exit_match,AS215125,Cyberology-AS,CYBEROLOGY-MNT,team-cymru-dns,rdap.org,True,False,False,tor_exit,False,,,
185.220.101.139,8,35,medium,repeated_attacks_ge_5;tor_exit_match,AS60729,,,team-cymru-dns,none,True,False,False,tor_exit,False,,,
192.42.116.105,8,35,medium,repeated_attacks_ge_5;tor_exit_match,AS215125,Cyberology-AS,CYBEROLOGY-MNT,team-cymru-dns,rdap.org,True,False,False,tor_exit,False,,,
185.220.101.152,7,35,medium,repeated_attacks_ge_5;tor_exit_match,AS60729,,,team-cymru-dns,none,True,False,False,tor_exit,False,,,
192.42.116.18,7,35,medium,repeated_attacks_ge_5;tor_exit_match,AS215125,Cyberology-AS,CYBEROLOGY-MNT,team-cymru-dns,rdap.org,True,False,False,tor_exit,False,,,
192.42.116.50,7,35,medium,repeated_attacks_ge_5;tor_exit_match,AS215125,Cyberology-AS,CYBEROLOGY-MNT,team-cymru-dns,rdap.org,True,False,False,tor_exit,False,,,
185.220.100.241,6,35,medium,repeated_attacks_ge_5;tor_exit_match,AS205100,F3NETZE,F3NETZE,team-cymru-dns,rdap.org,True,False,False,tor_exit,False,,,
192.42.116.113,6,35,medium,repeated_attacks_ge_5;tor_exit_match,AS215125,Cyberology-AS,CYBEROLOGY-MNT,team-cymru-dns,rdap.org,True,False,False,tor_exit,False,,,
185.220.101.183,4,25,low,repeated_attacks_ge_2;tor_exit_match,AS60729,,,team-cymru-dns,none,True,False,False,tor_exit,False,,,
185.220.101.187,3,25,low,repeated_attacks_ge_2;tor_exit_match,AS60729,,,team-cymru-dns,none,True,False,False,tor_exit,False,,,
192.42.116.21,3,25,low,repeated_attacks_ge_2;tor_exit_match,AS215125,Cyberology-AS,CYBEROLOGY-MNT,team-cymru-dns,rdap.org,True,False,False,tor_exit,False,,,
192.42.116.44,3,25,low,repeated_attacks_ge_2;tor_exit_match,AS215125,Cyberology-AS,CYBEROLOGY-MNT,team-cymru-dns,rdap.org,True,False,False,tor_exit,False,,,
45.198.224.143,3,25,low,repeated_attacks_ge_2;tor_exit_match,AS215925,VPSVAULTHOST,Administration,team-cymru-dns,rdap.org,True,False,False,tor_exit,False,,,
