asn,asn_name,asn_org,attacks,unique_ips,max_risk_score,risk_level,risk_reasons,tor_exit_ips,spamhaus_drop_hits,spamhaus_asndrop,bph_flag,bph_label,bph_confidence
AS197170,TECHTIES-AS,TechTies Inc.,327317,133,55,medium,repeated_attacks_ge_10;repeated_attacks_ge_2;repeated_attacks_ge_5;spamhaus_drop_match,0,95,False,False,,
UNKNOWN,,,166627,48,55,medium,repeated_attacks_ge_10;repeated_attacks_ge_2;repeated_attacks_ge_5;spamhaus_drop_match,0,3,False,False,,
AS47890,UNMANAGED-DEDICATED-SERVERS,UNMANAGED LTD,50667,38,55,medium,repeated_attacks_ge_10;repeated_attacks_ge_2;repeated_attacks_ge_5;spamhaus_drop_match,0,36,False,False,,
AS213790,,,40861,28,55,medium,repeated_attacks_ge_10;repeated_attacks_ge_2;repeated_attacks_ge_5;spamhaus_drop_match,0,28,False,False,,
AS208137,FPS12,Aneta Kovarova,33067,13,55,medium,repeated_attacks_ge_10;repeated_attacks_ge_2;spamhaus_drop_match,0,13,False,False,,
AS48090,DMZHOST,AD-Tech,28630,30,55,medium,repeated_attacks_ge_10;repeated_attacks_ge_2;repeated_attacks_ge_5;spamhaus_drop_match,0,30,False,False,,
AS135377,,,28448,519,55,medium,repeated_attacks_ge_10;repeated_attacks_ge_2;repeated_attacks_ge_5;spamhaus_drop_match,0,38,False,False,,
AS25369,BANDWIDTH-AS,HYDRA-MNT,27006,1723,55,medium,repeated_attacks_ge_10;repeated_attacks_ge_2;repeated_attacks_ge_5;spamhaus_drop_match,0,563,False,False,,
AS49870,AS49870-BV,AS49870 B.V.,21599,19,55,medium,repeated_attacks_ge_10;repeated_attacks_ge_2;repeated_attacks_ge_5;spamhaus_drop_match,0,1,False,False,,
AS219502,STORMCLOUD-AS,Storm Industries LLC,19827,99,55,medium,repeated_attacks_ge_10;repeated_attacks_ge_2;repeated_attacks_ge_5;spamhaus_drop_match,0,99,False,False,,
AS215925,VPSVAULTHOST,Administration,17612,51,55,medium,repeated_attacks_ge_10;repeated_attacks_ge_2;repeated_attacks_ge_5;spamhaus_drop_match;tor_exit_match,1,4,False,False,,
AS202412,,,5378,27,55,medium,repeated_attacks_ge_10;repeated_attacks_ge_2;repeated_attacks_ge_5;spamhaus_drop_match,0,27,False,False,,
AS213388,,,4565,14,55,medium,repeated_attacks_ge_10;repeated_attacks_ge_5;spamhaus_drop_match,0,14,False,False,,
AS51396,,,3880,56,55,medium,repeated_attacks_ge_10;repeated_attacks_ge_2;repeated_attacks_ge_5;spamhaus_drop_match,0,56,False,False,,
AS205759,GHOSTYNETWORKS,Administration,3630,48,55,medium,repeated_attacks_ge_10;repeated_attacks_ge_2;repeated_attacks_ge_5;spamhaus_drop_match,0,48,False,False,,
AS215930,,,3266,5,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,0,5,False,False,,
AS204428,,,2930,10,55,medium,repeated_attacks_ge_10;repeated_attacks_ge_5;spamhaus_drop_match,0,10,False,False,,
AS209605,,,2481,40,55,medium,repeated_attacks_ge_10;repeated_attacks_ge_2;repeated_attacks_ge_5;spamhaus_drop_match,0,40,False,False,,
AS401626,,,2284,60,55,medium,repeated_attacks_ge_10;repeated_attacks_ge_2;repeated_attacks_ge_5;spamhaus_drop_match,0,60,False,False,,
AS207812,DM_AUTO,MNT-LIR-BG,804,5,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,0,5,False,False,,
AS197769,,,640,18,55,medium,repeated_attacks_ge_10;repeated_attacks_ge_2;repeated_attacks_ge_5;spamhaus_drop_match,0,18,False,False,,
AS198584,PIO-Hosting,Marcel Edler,394,5,55,medium,repeated_attacks_ge_10;repeated_attacks_ge_2;repeated_attacks_ge_5;spamhaus_drop_match,0,5,False,False,,
AS210558,services-1337-gmbh,lir-de-1337services-1-MNT,380,9,55,medium,repeated_attacks_ge_10;repeated_attacks_ge_2;repeated_attacks_ge_5;spamhaus_drop_match,0,9,False,False,,
AS402253,SKN-NETWORK-1,SKN Subnet & Telecom Ltd,321,15,55,medium,repeated_attacks_ge_10;repeated_attacks_ge_2;repeated_attacks_ge_5;spamhaus_drop_match,0,15,False,False,,
AS210006,ASKZ,admin-c,278,4,55,medium,repeated_attacks_ge_10;repeated_attacks_ge_5;spamhaus_drop_match,0,4,False,False,,
AS211736,FDN3,Dmytro Nedilskyi,210,4,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,0,4,False,False,,
