ip,attacks,risk_score,risk_level,risk_reasons,asn,asn_name,asn_org,asn_source,rdap_source,tor_exit,spamhaus_drop,spamhaus_asndrop,feed_hits,bph_flag,bph_label,bph_confidence,bph_note
176.65.148.93,2,40,medium,repeated_attacks_ge_2;spamhaus_drop_match,AS51396,,,team-cymru-dns,none,False,True,False,spamhaus_drop,False,,,
94.154.43.230,2,40,medium,repeated_attacks_ge_2;spamhaus_drop_match,AS219502,STORMCLOUD-AS,Storm Industries LLC,team-cymru-dns,rdap.org,False,True,False,spamhaus_drop,False,,,
91.92.40.18,1,30,medium,spamhaus_drop_match,AS197170,TECHTIES-AS,TechTies Inc.,team-cymru-dns,rdap.org,False,True,False,spamhaus_drop,False,,,
94.154.43.158,1,30,medium,spamhaus_drop_match,AS219502,STORMCLOUD-AS,Storm Industries LLC,team-cymru-dns,rdap.org,False,True,False,spamhaus_drop,False,,,
102.208.240.251,1,0,low,,AS329440,ORG-ONDL1-AFRINIC,Tianhoun Lossi,team-cymru-dns,rdap.org,False,False,False,,False,,,
103.63.101.24,1,0,low,,AS150273,IDNIC-BMI-AS-ID,Johani Fauzi,team-cymru-dns,rdap.org,False,False,False,,False,,,
167.71.243.84,1,0,low,,AS14061,DIGITALOCEAN-ASN,"DigitalOcean, LLC",team-cymru-dns,rdap.org,False,False,False,,False,,,
169.239.130.20,1,0,low,,AS49870,AS49870-BV,AS49870 B.V.,team-cymru-dns,rdap.org,False,False,False,,False,,,
186.3.151.116,1,0,low,,AS27947,27947,Telconet S.A,team-cymru-dns,rdap.org,False,False,False,,False,,,
198.98.53.110,1,0,low,,AS53667,PONYNET,FranTech Solutions,team-cymru-dns,rdap.org,False,False,False,,False,,,
23.160.56.218,1,0,low,,AS26042,FIBERSTATE,"FiberState, LLC",team-cymru-dns,rdap.org,False,False,False,,False,,,
45.81.115.108,1,0,low,,AS205463,VDSGLOBAL,ALPMEDYA-MNT,team-cymru-dns,rdap.org,False,False,False,,False,,,
47.251.98.127,1,0,low,,AS45102,ALIBABA-CN-NET,security trouble,team-cymru-dns,rdap.org,False,False,False,,False,,,
47.82.122.57,1,0,low,,AS45102,ALIBABA-CN-NET,security trouble,team-cymru-dns,rdap.org,False,False,False,,False,,,
50.80.234.4,1,0,low,,AS30036,MEDIACOM-ENTERPRISE-BUSINESS,Mediacom Communications Corp,team-cymru-dns,rdap.org,False,False,False,,False,,,
91.92.47.37,1,0,low,,AS197170,TECHTIES-AS,TechTies Inc.,team-cymru-dns,rdap.org,False,False,False,,False,,,
