asn,asn_name,asn_org,attacks,unique_ips,max_risk_score,risk_level,risk_reasons,tor_exit_ips,spamhaus_drop_hits,spamhaus_asndrop,bph_flag,bph_label,bph_confidence
AS197170,TECHTIES-AS,TechTies Inc.,11218,6,55,medium,repeated_attacks_ge_10;repeated_attacks_ge_5;spamhaus_drop_match,0,3,False,False,,
AS47890,UNMANAGED-DEDICATED-SERVERS,UNMANAGED LTD,1028,3,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,0,3,False,False,,
AS48090,DMZHOST,AD-Tech,135,3,55,medium,repeated_attacks_ge_10;repeated_attacks_ge_5;spamhaus_drop_match,0,3,False,False,,
AS51396,,,91,5,55,medium,repeated_attacks_ge_10;repeated_attacks_ge_5;spamhaus_drop_match,0,5,False,False,,
AS213388,,,82,5,55,medium,repeated_attacks_ge_10;repeated_attacks_ge_5;spamhaus_drop_match,0,5,False,False,,
AS219502,STORMCLOUD-AS,Storm Industries LLC,72,4,55,medium,repeated_attacks_ge_10;repeated_attacks_ge_5;spamhaus_drop_match,0,4,False,False,,
AS198953,proton66,lir-ru-proton66-1-MNT,49,1,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,0,1,False,False,,
AS213790,,,30,2,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,0,2,False,False,,
AS208137,FPS12,Aneta Kovarova,30,1,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,0,1,False,False,,
AS204428,,,16,1,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,0,1,False,False,,
AS401626,,,16,1,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,0,1,False,False,,
AS205759,GHOSTYNETWORKS,Administration,15,2,55,medium,repeated_attacks_ge_10;repeated_attacks_ge_5;spamhaus_drop_match,0,2,False,False,,
AS207812,DM_AUTO,MNT-LIR-BG,22,3,50,medium,repeated_attacks_ge_5;spamhaus_drop_match,0,3,False,False,,
AS202412,,,7,1,50,medium,repeated_attacks_ge_5;spamhaus_drop_match,0,1,False,False,,
AS215930,,,6,1,50,medium,repeated_attacks_ge_5;spamhaus_drop_match,0,1,False,False,,
AS215125,Cyberology-AS,CYBEROLOGY-MNT,14,1,40,medium,repeated_attacks_ge_10;tor_exit_match,1,0,False,False,,
AS212278,,,2271,1,25,low,repeated_attacks_ge_10,0,0,False,False,,
AS31898,ORACLE-BMC-31898,Oracle Corporation,462,2,25,low,repeated_attacks_ge_10;repeated_attacks_ge_5,0,0,False,False,,
UNKNOWN,,,398,2,25,low,repeated_attacks_ge_10;repeated_attacks_ge_2,0,0,False,False,,
AS215925,VPSVAULTHOST,Administration,369,5,25,low,repeated_attacks_ge_10,0,0,False,False,,
AS14670,WHG-USE1,lir-uk-whgi-1-MNT,356,1,25,low,repeated_attacks_ge_10,0,0,False,False,,
AS398705,CENSYS-ARIN-02,"Censys, Inc.",302,7,25,low,repeated_attacks_ge_10;repeated_attacks_ge_2;repeated_attacks_ge_5,0,0,False,False,,
AS18206,TTSSB-MY,TM TECHNOLOGY SERVICES SDN BHD,273,1,25,low,repeated_attacks_ge_10,0,0,False,False,,
AS63949,AKAMAI-LINODE-AP,LINODE LLC - network administrator,251,4,25,low,repeated_attacks_ge_10;repeated_attacks_ge_2,0,0,False,False,,
AS396982,GOOGLE-CLOUD-PLATFORM,Google LLC,174,14,25,low,repeated_attacks_ge_10;repeated_attacks_ge_5,0,0,False,False,,
AS398324,,,155,16,25,low,repeated_attacks_ge_10;repeated_attacks_ge_2;repeated_attacks_ge_5,0,0,False,False,,
AS12876,AS12876,MNT-TISCALIFR,126,2,25,low,repeated_attacks_ge_10;repeated_attacks_ge_5,0,0,False,False,,
AS14061,DIGITALOCEAN-ASN,"DigitalOcean, LLC",115,8,25,low,repeated_attacks_ge_10;repeated_attacks_ge_2;repeated_attacks_ge_5,0,0,False,False,,
AS16276,,,71,2,25,low,repeated_attacks_ge_10;repeated_attacks_ge_2,0,0,False,False,,
AS8075,,,69,6,25,low,repeated_attacks_ge_10;repeated_attacks_ge_2;repeated_attacks_ge_5,0,0,False,False,,
AS209334,MODAT-01,lir-nl-modat-1-MNT,61,9,25,low,repeated_attacks_ge_10;repeated_attacks_ge_2;repeated_attacks_ge_5,0,0,False,False,,
AS28267,ASN28267,SIM INTERNET PROVEDORES DE INTERNET EIRELI.,56,2,25,low,repeated_attacks_ge_10,0,0,False,False,,
AS49870,AS49870-BV,AS49870 B.V.,56,2,25,low,repeated_attacks_ge_10,0,0,False,False,,
AS136180,IPIP-CN,IRT-IPIP-CN,51,3,25,low,repeated_attacks_ge_10;repeated_attacks_ge_5,0,0,False,False,,
AS16509,,,50,2,25,low,repeated_attacks_ge_10;repeated_attacks_ge_5,0,0,False,False,,
AS22927,22927,Telefonica de Argentina,48,2,25,low,repeated_attacks_ge_10,0,0,False,False,,
AS36903,ORG-ONdP1-AFRINIC,Kaddouhi Abdelaziz,40,2,25,low,repeated_attacks_ge_10,0,0,False,False,,
AS209630,KREDIT-AS,Garbuz Vadim,38,2,25,low,repeated_attacks_ge_10,0,0,False,False,,
AS9465,,,34,2,25,low,repeated_attacks_ge_10,0,0,False,False,,
AS211298,DRIFTNET,Driftnet Hostmaster,33,4,25,low,repeated_attacks_ge_10;repeated_attacks_ge_2;repeated_attacks_ge_5,0,0,False,False,,
