asn,asn_name,asn_org,attacks,unique_ips,max_risk_score,risk_level,risk_reasons,tor_exit_ips,spamhaus_drop_hits,spamhaus_asndrop,bph_flag,bph_label,bph_confidence
AS197170,TECHTIES-AS,TechTies Inc.,17969,14,55,medium,repeated_attacks_ge_10;repeated_attacks_ge_5;spamhaus_drop_match,0,12,False,False,,
AS213790,,,5897,4,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,0,4,False,False,,
AS47890,UNMANAGED-DEDICATED-SERVERS,UNMANAGED LTD,4629,10,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,0,8,False,False,,
AS48090,DMZHOST,AD-Tech,4040,11,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,0,11,False,False,,
AS215925,VPSVAULTHOST,Administration,2216,18,55,medium,repeated_attacks_ge_10;repeated_attacks_ge_5;spamhaus_drop_match,0,1,False,False,,
AS204428,,,928,3,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,0,3,False,False,,
AS219502,STORMCLOUD-AS,Storm Industries LLC,807,12,55,medium,repeated_attacks_ge_10;repeated_attacks_ge_5;spamhaus_drop_match,0,12,False,False,,
AS213388,,,738,1,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,0,1,False,False,,
AS208137,FPS12,Aneta Kovarova,714,3,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,0,3,False,False,,
AS202412,,,698,4,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,0,4,False,False,,
AS51396,,,196,5,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,0,5,False,False,,
AS207812,DM_AUTO,MNT-LIR-BG,139,5,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,0,5,False,False,,
AS215930,,,64,3,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,0,3,False,False,,
AS401626,,,41,5,55,medium,repeated_attacks_ge_10;repeated_attacks_ge_2;repeated_attacks_ge_5;spamhaus_drop_match,0,5,False,False,,
AS205759,GHOSTYNETWORKS,Administration,30,3,55,medium,repeated_attacks_ge_10;repeated_attacks_ge_5;spamhaus_drop_match,0,3,False,False,,
AS14987,RETHEMHOSTING,Rethem Hosting LLC,20,2,55,medium,repeated_attacks_ge_10;repeated_attacks_ge_5;spamhaus_drop_match,0,2,False,False,,
AS210006,ASKZ,admin-c,19,2,55,medium,repeated_attacks_ge_10;repeated_attacks_ge_5;spamhaus_drop_match,0,2,False,False,,
AS198953,proton66,lir-ru-proton66-1-MNT,18,1,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,0,1,False,False,,
AS19318,,,19,2,50,medium,repeated_attacks_ge_10;repeated_attacks_ge_5;spamhaus_drop_match,0,1,False,False,,
AS210558,services-1337-gmbh,lir-de-1337services-1-MNT,8,1,50,medium,repeated_attacks_ge_5;spamhaus_drop_match,0,1,False,False,,
AS201814,,,157403,8,25,low,repeated_attacks_ge_10,0,0,False,False,,
AS4134,CHINANET-BACKBONE,Chinanet Hostmaster,49206,127,25,low,repeated_attacks_ge_10;repeated_attacks_ge_5,0,0,False,False,,
AS40676,,,22923,1,25,low,repeated_attacks_ge_10,0,0,False,False,,
AS17557,PKTELECOM-AS-PK,Munir Ahmed,12640,3,25,low,repeated_attacks_ge_10,0,0,False,False,,
AS267784,,,10308,1,25,low,repeated_attacks_ge_10,0,0,False,False,,
AS6878,AS6878,Dirk Aschhoff,8242,1,25,low,repeated_attacks_ge_10,0,0,False,False,,
AS51852,,,6704,2,25,low,repeated_attacks_ge_10,0,0,False,False,,
AS16276,,,5707,26,25,low,repeated_attacks_ge_10;repeated_attacks_ge_2;repeated_attacks_ge_5,0,0,False,False,,
AS4837,CHINA169-Backbone,IRT-CU-CN,4125,137,25,low,repeated_attacks_ge_10;repeated_attacks_ge_5,0,0,False,False,,
AS38365,Baidu,Supeng Deng,3295,1,25,low,repeated_attacks_ge_10,0,0,False,False,,
AS152979,VIETSERVICE-VN,IRT-VNNIC-AP,2971,17,25,low,repeated_attacks_ge_10,0,0,False,False,,
AS14061,DIGITALOCEAN-ASN,"DigitalOcean, LLC",2550,34,25,low,repeated_attacks_ge_10;repeated_attacks_ge_2;repeated_attacks_ge_5,0,0,False,False,,
