ip,attacks,risk_score,risk_level,risk_reasons,asn,asn_name,asn_org,asn_source,rdap_source,tor_exit,spamhaus_drop,spamhaus_asndrop,feed_hits,bph_flag,bph_label,bph_confidence,bph_note
45.156.87.253,7290,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS197170,TECHTIES-AS,TechTies Inc.,team-cymru-dns,rdap.org,False,True,False,spamhaus_drop,False,,,
77.90.185.30,6837,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS213790,,,team-cymru-dns,none,False,True,False,spamhaus_drop,False,,,
213.209.159.175,3330,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS208137,FPS12,Aneta Kovarova,team-cymru-dns,rdap.org,False,True,False,spamhaus_drop,False,,,
45.148.10.240,1669,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS48090,DMZHOST,AD-Tech,team-cymru-dns,rdap.org,False,True,False,spamhaus_drop,False,,,
77.90.185.21,1075,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS213790,,,team-cymru-dns,none,False,True,False,spamhaus_drop,False,,,
213.209.159.115,581,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS208137,FPS12,Aneta Kovarova,team-cymru-dns,rdap.org,False,True,False,spamhaus_drop,False,,,
195.178.110.232,473,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS48090,DMZHOST,AD-Tech,team-cymru-dns,rdap.org,False,True,False,spamhaus_drop,False,,,
193.32.162.15,427,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS47890,UNMANAGED-DEDICATED-SERVERS,UNMANAGED LTD,team-cymru-dns,rdap.org,False,True,False,spamhaus_drop,False,,,
195.178.110.137,375,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS48090,DMZHOST,AD-Tech,team-cymru-dns,rdap.org,False,True,False,spamhaus_drop,False,,,
94.154.43.210,289,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS219502,STORMCLOUD-AS,Storm Industries LLC,team-cymru-dns,rdap.org,False,True,False,spamhaus_drop,False,,,
80.94.95.211,278,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS204428,,,team-cymru-dns,none,False,True,False,spamhaus_drop,False,,,
93.123.109.228,148,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS48090,DMZHOST,AD-Tech,team-cymru-dns,rdap.org,False,True,False,spamhaus_drop,False,,,
176.65.148.146,86,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS51396,,,team-cymru-dns,none,False,True,False,spamhaus_drop,False,,,
94.154.43.114,79,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS219502,STORMCLOUD-AS,Storm Industries LLC,team-cymru-dns,rdap.org,False,True,False,spamhaus_drop,False,,,
176.65.148.189,72,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS51396,,,team-cymru-dns,none,False,True,False,spamhaus_drop,False,,,
130.12.180.65,60,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS202412,,,team-cymru-dns,none,False,True,False,spamhaus_drop,False,,,
204.76.203.49,56,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS51396,,,team-cymru-dns,none,False,True,False,spamhaus_drop,False,,,
45.148.10.230,47,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS48090,DMZHOST,AD-Tech,team-cymru-dns,rdap.org,False,True,False,spamhaus_drop,False,,,
64.89.163.178,47,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS401626,,,team-cymru-dns,none,False,True,False,spamhaus_drop,False,,,
45.153.34.32,43,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS197170,TECHTIES-AS,TechTies Inc.,team-cymru-dns,rdap.org,False,True,False,spamhaus_drop,False,,,
45.194.92.14,42,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS215925,VPSVAULTHOST,Administration,team-cymru-dns,rdap.org,False,True,False,spamhaus_drop,False,,,
204.76.203.43,41,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS51396,,,team-cymru-dns,none,False,True,False,spamhaus_drop,False,,,
204.76.203.81,39,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS51396,,,team-cymru-dns,none,False,True,False,spamhaus_drop,False,,,
64.89.163.81,36,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS401626,,,team-cymru-dns,none,False,True,False,spamhaus_drop,False,,,
80.94.95.83,36,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS204428,,,team-cymru-dns,none,False,True,False,spamhaus_drop,False,,,
45.142.193.164,35,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS213388,,,team-cymru-dns,none,False,True,False,spamhaus_drop,False,,,
193.32.162.34,34,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS47890,UNMANAGED-DEDICATED-SERVERS,UNMANAGED LTD,team-cymru-dns,rdap.org,False,True,False,spamhaus_drop,False,,,
77.90.185.78,33,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS213790,,,team-cymru-dns,none,False,True,False,spamhaus_drop,False,,,
45.142.193.18,32,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS213388,,,team-cymru-dns,none,False,True,False,spamhaus_drop,False,,,
176.65.139.248,31,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS219502,STORMCLOUD-AS,Storm Industries LLC,team-cymru-dns,rdap.org,False,True,False,spamhaus_drop,False,,,
77.83.39.6,30,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS51396,,,team-cymru-dns,none,False,True,False,spamhaus_drop,False,,,
176.65.139.196,28,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS219502,STORMCLOUD-AS,Storm Industries LLC,team-cymru-dns,rdap.org,False,True,False,spamhaus_drop,False,,,
77.90.185.135,26,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS213790,,,team-cymru-dns,none,False,True,False,spamhaus_drop,False,,,
79.124.62.178,24,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS207812,DM_AUTO,MNT-LIR-BG,team-cymru-dns,rdap.org,False,True,False,spamhaus_drop,False,,,
85.11.167.7,24,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS197170,TECHTIES-AS,TechTies Inc.,team-cymru-dns,rdap.org,False,True,False,spamhaus_drop,False,,,
79.124.62.134,23,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS207812,DM_AUTO,MNT-LIR-BG,team-cymru-dns,rdap.org,False,True,False,spamhaus_drop,False,,,
62.60.130.219,21,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS215930,,,team-cymru-dns,none,False,True,False,spamhaus_drop,False,,,
79.124.62.126,21,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS207812,DM_AUTO,MNT-LIR-BG,team-cymru-dns,rdap.org,False,True,False,spamhaus_drop,False,,,
94.154.43.250,21,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS219502,STORMCLOUD-AS,Storm Industries LLC,team-cymru-dns,rdap.org,False,True,False,spamhaus_drop,False,,,
94.154.43.140,20,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS219502,STORMCLOUD-AS,Storm Industries LLC,team-cymru-dns,rdap.org,False,True,False,spamhaus_drop,False,,,
213.209.159.142,19,55,medium,repeated_attacks_ge_10;spamhaus_drop_match,AS208137,FPS12,Aneta Kovarova,team-cymru-dns,rdap.org,False,True,False,spamhaus_drop,False,,,
