asn,asn_name,asn_org,attacks,unique_ips,max_risk_score,risk_level,risk_reasons,tor_exit_ips,spamhaus_drop_hits,spamhaus_asndrop,bph_flag,bph_label,bph_confidence
AS219502,STORMCLOUD-AS,Storm Industries LLC,3,2,40,medium,repeated_attacks_ge_2;spamhaus_drop_match,0,2,False,False,,
AS51396,,,2,1,40,medium,repeated_attacks_ge_2;spamhaus_drop_match,0,1,False,False,,
AS197170,TECHTIES-AS,TechTies Inc.,2,2,30,medium,spamhaus_drop_match,0,1,False,False,,
AS45102,ALIBABA-CN-NET,security trouble,2,2,0,low,,0,0,False,False,,
AS14061,DIGITALOCEAN-ASN,"DigitalOcean, LLC",1,1,0,low,,0,0,False,False,,
AS150273,IDNIC-BMI-AS-ID,Johani Fauzi,1,1,0,low,,0,0,False,False,,
AS205463,VDSGLOBAL,ALPMEDYA-MNT,1,1,0,low,,0,0,False,False,,
AS26042,FIBERSTATE,"FiberState, LLC",1,1,0,low,,0,0,False,False,,
AS27947,27947,Telconet S.A,1,1,0,low,,0,0,False,False,,
AS30036,MEDIACOM-ENTERPRISE-BUSINESS,Mediacom Communications Corp,1,1,0,low,,0,0,False,False,,
AS329440,ORG-ONDL1-AFRINIC,Tianhoun Lossi,1,1,0,low,,0,0,False,False,,
AS49870,AS49870-BV,AS49870 B.V.,1,1,0,low,,0,0,False,False,,
AS53667,PONYNET,FranTech Solutions,1,1,0,low,,0,0,False,False,,
